strategy,primary,secondary,CAGR,primary_solo_CAGR,配對增益,max_drawdown,win_ratio,平均持股數,持股月份覆蓋率,持股數p10,晉升,未過原因
P_IC_qb0of3__REVENUE_qb0of3__None__v0,P_IC_qb0,REVENUE_qb0,0.2284126841223002,0.17867438611691733,0.049738298005382875,-0.5270445863566964,0.571290944123314,95.42424242424242,1.0,32.0,True,
P_IC_qb0of3__VOL_qb2of3__None__v0,P_IC_qb0,VOL_qb2,0.2129537935854513,0.17867438611691733,0.03427940746853397,-0.6649514675624532,0.5020437177892305,122.62626262626263,1.0,99.0,True,
P_IC_qb0of3__ROE_qb2of3__None__v0,P_IC_qb0,ROE_qb2,0.20973001630778976,0.17867438611691733,0.03105563019087243,-0.4662598126572205,0.5178952991452992,68.52861952861953,1.0,7.0,True,
PB_qb0of3__ROE_qb2of3__None__v0,PB_qb0,ROE_qb2,0.20669866335001674,0.18050911811184078,0.02618954523817596,-0.4422328008577091,0.5180316818335019,45.02020202020202,1.0,4.0,True,
PB_qb0of3__ROIC_qb2of3__None__v0,PB_qb0,ROIC_qb2,0.20645135520675573,0.18050911811184078,0.025942237094914944,-0.4591092631161142,0.5103763629968343,47.54014598540146,1.0,6.0,True,
P_IC_qb0of3__DEBTRATIO_qb0of3__None__v0,P_IC_qb0,DEBTRATIO_qb0,0.20390695840205297,0.17867438611691733,0.025232572285135646,-0.5663237935833458,0.5981308411214953,50.30639730639731,1.0,25.0,True,
PB_qb0of3__REVENUE_qb0of3__None__v0,PB_qb0,REVENUE_qb0,0.20054534921843592,0.18050911811184078,0.020036231106595137,-0.5509715632312291,0.6126970600766937,122.03367003367003,1.0,44.0,True,
EV_S_qb0of3__REVENUE_qb0of3__None__v0,EV_S_qb0,REVENUE_qb0,0.19898682426155134,0.15703616256886455,0.0419506616926868,-0.4385810295178354,0.5620950323974082,70.48484848484848,1.0,21.0,True,
PB_qb0of3__VOL_qb2of3__None__v0,PB_qb0,VOL_qb2,0.19821570073641737,0.18050911811184078,0.017706582624576583,-0.655379676645298,0.4943664413243196,113.14141414141415,1.0,87.0,True,
PS_qb0of3__REVENUE_qb0of3__None__v0,PS_qb0,REVENUE_qb0,0.19589791731576822,0.16434511041889355,0.031552806896874674,-0.7742426026486395,0.5129752564876282,54.168350168350166,1.0,17.0,True,
PB_qb0of3__PS_qb0of3__None__v0,PB_qb0,PS_qb0,0.19552828855051252,0.18050911811184078,0.015019170438671736,-0.5673547855603668,0.6203608247422681,256.0875420875421,1.0,146.0,True,
EV_S_qb0of3__MOM_qb2of3__None__v0,EV_S_qb0,MOM_qb2,0.1955004527469444,0.15703616256886455,0.03846429017807984,-0.6309531961281287,0.48765850353305584,156.6161616161616,1.0,92.80000000000001,True,
PB_qb0of3__OCF_E_qb2of3__None__v0,PB_qb0,OCF_E_qb2,0.1948977085456407,0.18050911811184078,0.01438859043379992,-0.5443796510072472,0.5140855349584003,109.73400673400674,1.0,50.0,True,
PB_qb0of3__EV_EBITDA_qb0of3__None__v0,PB_qb0,EV_EBITDA_qb0,0.19475174231000114,0.18050911811184078,0.014242624198160359,-0.5529732400565965,0.5401176977178126,207.27272727272728,1.0,113.0,True,
PB_qb0of3__EV_S_qb0of3__None__v0,PB_qb0,EV_S_qb0,0.19152523498206686,0.18050911811184078,0.011016116870226078,-0.5475926408420828,0.616516762060507,241.83838383838383,1.0,104.0,True,
PS_qb0of3__EV_EBITDA_qb0of3__None__v0,PS_qb0,EV_EBITDA_qb0,0.19132612263680127,0.16434511041889355,0.02698101221790772,-0.507684504254905,0.5051694428489374,183.84848484848484,1.0,98.0,True,
P_IC_qb0of3__EV_EBITDA_qb0of3__None__v0,P_IC_qb0,EV_EBITDA_qb0,0.19089426073683513,0.17867438611691733,0.012219874619917803,-0.5362828748333781,0.5187529672416522,197.8080808080808,1.0,112.0,True,
PB_qb0of3__FCF_OI_qb1of3__None__v0,PB_qb0,FCF_OI_qb1,0.18925522121144955,0.18050911811184078,0.00874610309960877,-0.5676334384373325,0.5063129702844025,148.86868686868686,1.0,78.0,True,
EV_EBITDA_qb0of3__EPS_qb1of3__None__v0,EV_EBITDA_qb0,EPS_qb1,0.18912655662608602,0.1454246752563002,0.04370188136978581,-0.5069567567115894,0.5340677274581803,113.26936026936026,1.0,75.6,True,
P_IC_qb0of3__PS_qb0of3__None__v0,P_IC_qb0,PS_qb0,0.1876102576683254,0.17867438611691733,0.00893587155140807,-0.5654281396019782,0.612869474234894,293.74747474747477,1.0,161.0,True,
PB_qb0of3__EPS_qb1of3__None__v0,PB_qb0,EPS_qb1,0.18706422982509863,0.18050911811184078,0.006555111713257844,-0.519015303958994,0.5350413447200759,180.2053872053872,1.0,71.0,True,
PB_qb0of3__DEBTRATIO_qb2of3__None__v0,PB_qb0,DEBTRATIO_qb2,0.18635950857908368,0.18050911811184078,0.005850390467242894,-0.5881653187962653,0.6022453889334403,170.23905723905725,1.0,103.0,True,
PB_qb0of3__NETDEBT_EBITDA_qb0of3__None__v0,PB_qb0,NETDEBT_EBITDA_qb0,0.18598838212849822,0.18050911811184078,0.005479264016657437,-0.5399443481153215,0.6272164948453608,134.5185185185185,1.0,39.0,True,
P_IC_qb0of3__PB_qb0of3__None__v0,PB_qb0,P_IC_qb0,0.18573029068263458,0.18050911811184078,0.005221172570793797,-0.580537362477654,0.6695192549710546,348.35353535353534,1.0,203.0,True,
PS_qb0of3__MOM_qb2of3__None__v0,PS_qb0,MOM_qb2,0.18527143734118923,0.16434511041889355,0.02092632692229568,-0.6434105035183026,0.47813495511149723,156.47138047138048,1.0,99.0,True,
P_IC_qb0of3__EV_S_qb0of3__None__v0,P_IC_qb0,EV_S_qb0,0.1851690280562388,0.17867438611691733,0.006494641939321477,-0.5518399517641667,0.6008941877794337,239.6094276094276,1.0,100.0,True,
PB_qb0of3__CROIC_qb1of3__None__v0,PB_qb0,CROIC_qb1,0.18513963224536623,0.18050911811184078,0.004630514133525443,-0.5729035496428085,0.5165201913449772,170.21212121212122,1.0,110.0,True,
P_IC_qb0of3__EPS_qb2of3__None__v0,P_IC_qb0,EPS_qb2,0.1847491209054679,0.17867438611691733,0.006074734788550584,-0.5540768695747819,0.5056320400500626,67.43097643097643,1.0,6.0,True,
P_IC_qb0of3__FCF_OI_qb1of3__None__v0,P_IC_qb0,FCF_OI_qb1,0.1841328203450041,0.17867438611691733,0.005458434228086784,-0.5609899037388622,0.49861860281541903,143.95286195286195,1.0,73.0,True,
P_IC_qb0of3__REVENUE_qb1of3__None__v0,P_IC_qb0,REVENUE_qb1,0.18382252493961793,0.17867438611691733,0.005148138822700599,-0.5780364632701884,0.5656898254856767,152.2962962962963,1.0,95.0,True,
P_IC_qb0of3__NETDEBT_EBITDA_qb1of3__None__v0,P_IC_qb0,NETDEBT_EBITDA_qb1,0.1828242597650629,0.17867438611691733,0.004149873648145563,-0.5398577592592515,0.5330090340514246,97.6936026936027,1.0,27.0,True,
P_IC_qb0of3__ROIC_qb1of3__None__v0,P_IC_qb0,ROIC_qb1,0.18272926888937446,0.17867438611691733,0.004054882772457136,-0.5258095349073368,0.5280929975089953,187.5993265993266,1.0,72.0,True,
PB_qb0of3__ROIC_qb1of3__None__v0,PB_qb0,ROIC_qb1,0.18223831681550728,0.18050911811184078,0.0017291987036665013,-0.5188440831632347,0.5331550802139038,186.02020202020202,1.0,78.0,True,
PB_qb0of3__ROE_qb1of3__None__v0,PB_qb0,ROE_qb1,0.18183368727864435,0.18050911811184078,0.0013245691668035686,-0.5312032679883569,0.5319207108680792,185.65993265993265,1.0,72.0,True,
P_IC_qb0of3__OCF_E_qb2of3__None__v0,P_IC_qb0,OCF_E_qb2,0.18169077162055913,0.17867438611691733,0.0030163855036418052,-0.5287015430445334,0.516039603960396,131.37373737373738,1.0,64.0,True,
P_IC_qb0of3__MOM_qb2of3__None__v0,P_IC_qb0,MOM_qb2,0.18134305708824927,0.17867438611691733,0.0026686709713319434,-0.651562596336962,0.47437118902439024,155.16835016835017,1.0,84.0,True,
PB_qb0of3__FCF_P_qb1of3__None__v0,PB_qb0,FCF_P_qb1,0.1810049825348956,0.18050911811184078,0.0004958644230548259,-0.5821890448969773,0.50996138996139,102.03367003367003,1.0,52.0,True,
PB_qb0of3__None__None__v0,PB_qb0,（空集合）,0.18050911811184078,0.18050911811184078,0.0,-0.5768944034944556,0.6852870024191775,463.010101010101,1.0,260.0,True,
P_IC_qb0of3__EPS_qb1of3__None__v0,P_IC_qb0,EPS_qb1,0.18019942675097989,0.17867438611691733,0.0015250406340625577,-0.5326537626863316,0.5247109826589595,171.83164983164983,1.0,64.0,True,
