strategy,primary,secondary,CAGR,primary_solo_CAGR,配對增益,max_drawdown,win_ratio,平均持股數,持股月份覆蓋率,持股數p10,晉升,未過原因
REVENUE_qb0of3__PS_qb0of3__None__v0,PS_qb0,REVENUE_qb0,0.4348852205642235,0.23167500171222444,0.20321021885199908,-0.5223944950708646,0.6351059230436662,93.84294871794872,1.0,57.1,True,
REVENUE_qb0of3__EV_S_qb0of3__None__v0,EV_S_qb0,REVENUE_qb0,0.3910498641246807,0.2284734107626667,0.16257645336201398,-0.5699947579305213,0.6290018832391714,116.33333333333333,1.0,64.0,True,
EPS_qb0of3__ROE_qb2of3__None__v0,EPS_qb0,ROE_qb2,0.38632891368439726,0.22545393072075193,0.16087498296364533,-0.45484701344928125,0.5080617495711836,64.3173076923077,1.0,49.0,True,
ROE_qb2of3__ROIC_qb0of3__None__v0,ROIC_qb0,ROE_qb2,0.35795654992842163,0.1950713480056756,0.16288520192274603,-0.43546408410575776,0.483989501312336,46.14423076923077,1.0,31.1,True,
PB_qb0of3__VOL_qb2of3__None__v0,VOL_qb2,PB_qb0,0.3476496029715517,0.23834875316127002,0.10930084981028165,-0.622390406476591,0.5776370855241979,213.34294871794873,1.0,130.0,True,
EV_S_qb0of3__EPS_qb0of3__None__v0,EV_S_qb0,EPS_qb0,0.3349815919842276,0.2284734107626667,0.10650818122156092,-0.6354533706548908,0.5911932951975523,171.41346153846155,1.0,125.0,True,
EV_S_qb2of3__PS_qb0of3__None__v0,PS_qb0,EV_S_qb2,0.3324761499596618,0.23167500171222444,0.10080114824743736,-0.7007060448459697,0.6042154566744731,11.451612903225806,0.9935897435897436,4.0,True,
PS_qb0of3__EPS_qb0of3__None__v0,PS_qb0,EPS_qb0,0.3284475992803766,0.23167500171222444,0.09677259756815215,-0.6442176885545954,0.5939792562610675,179.49358974358975,1.0,127.0,True,
PS_qb0of3__VOL_qb2of3__None__v0,VOL_qb2,PS_qb0,0.3258280445197972,0.23834875316127002,0.08747929135852717,-0.6443951214783201,0.5743284185013129,223.73076923076923,1.0,138.1,True,
EV_S_qb0of3__VOL_qb2of3__None__v0,VOL_qb2,EV_S_qb0,0.31993402088224787,0.23834875316127002,0.08158526772097785,-0.6231368472793164,0.5729637440996284,217.3846153846154,1.0,145.1,True,
PB_qb0of3__ROE_qb2of3__None__v0,PB_qb0,ROE_qb2,0.3188668672972841,0.23322882513045817,0.08563804216682591,-0.48903351915412574,0.5710330507008133,92.90384615384616,1.0,59.0,True,
PB_qb0of3__EPS_qb0of3__None__v0,PB_qb0,EPS_qb0,0.317951165299204,0.23322882513045817,0.0847223401687458,-0.6262431846853289,0.5886983082706767,209.7051282051282,1.0,141.1,True,
NETDEBT_EBITDA_qb0of3__DEBTRATIO_qb2of3__None__v0,DEBTRATIO_qb2,NETDEBT_EBITDA_qb0,0.3163367183084209,0.1834002079043935,0.13293651040402743,-0.5277356859963171,0.5,22.503205128205128,1.0,11.0,True,
P_IC_qb0of3__VOL_qb2of3__None__v0,VOL_qb2,P_IC_qb0,0.31523248118659764,0.23834875316127002,0.07688372802532761,-0.7074591270153301,0.584263959390863,174.01602564102564,1.0,86.0,True,
PB_qb0of3__EV_EBITDA_qb0of3__None__v0,EV_EBITDA_qb0,PB_qb0,0.3093613107118478,0.2415954219295564,0.0677658887822914,-0.620719715944501,0.5936564371257484,257.4807692307692,1.0,185.1,True,
EV_EBITDA_qb0of3__DEBTRATIO_qb2of3__None__v0,EV_EBITDA_qb0,DEBTRATIO_qb2,0.309094021006191,0.2415954219295564,0.06749859907663458,-0.5952529675756404,0.5879765395894428,147.14743589743588,1.0,119.1,True,
PB_qb0of3__P_IC_qb2of3__None__v0,PB_qb0,P_IC_qb2,0.30898500981452437,0.23322882513045817,0.0757561846840662,-0.5417027431578765,0.4825436408977556,38.46474358974359,1.0,16.0,True,
EPS_qb0of3__OCF_E_qb2of3__None__v0,EPS_qb0,OCF_E_qb2,0.30694418590051553,0.22545393072075193,0.0814902551797636,-0.48441187583779155,0.5301351763390588,131.49358974358975,1.0,96.0,True,
P_IC_qb0of3__ACCRUAL_qb0of3__None__v0,ACCRUAL_qb0,P_IC_qb0,0.30516977200371875,0.204849912649675,0.10031985935404375,-0.6742784629381041,0.5688535602328706,126.66666666666667,1.0,76.1,True,
PS_qb0of3__EV_EBITDA_qb0of3__None__v0,EV_EBITDA_qb0,PS_qb0,0.3042587246154369,0.2415954219295564,0.0626633026858805,-0.6182470374869062,0.5937093839355342,254.30448717948718,1.0,192.0,True,
PB_qb0of3__ACCRUAL_qb0of3__None__v0,PB_qb0,ACCRUAL_qb0,0.3032245454953757,0.23322882513045817,0.06999572036491752,-0.6119361762435658,0.552626923757297,169.0352564102564,1.0,121.0,True,
P_IC_qb0of3__EPS_qb0of3__None__v0,EPS_qb0,P_IC_qb0,0.3004612530349624,0.22545393072075193,0.07500732231421048,-0.6966984702416853,0.5940294400880451,162.40384615384616,1.0,96.1,True,
REVENUE_qb0of3__OCF_E_qb2of3__None__v0,REVENUE_qb0,OCF_E_qb2,0.29946977532701435,0.2141966463375593,0.08527312898945505,-0.37375204926852734,0.5371992768738701,112.76282051282051,1.0,83.0,True,
EV_EBITDA_qb0of3__VOL_qb2of3__None__v0,EV_EBITDA_qb0,VOL_qb2,0.2992919138539736,0.2415954219295564,0.05769649192441717,-0.5894798235554808,0.5498244440728975,310.0544871794872,1.0,180.0,True,
REVENUE_qb0of3__PB_qb0of3__None__v0,PB_qb0,REVENUE_qb0,0.29854593605428925,0.23322882513045817,0.06531711092383108,-0.4867232678824702,0.622255489021956,229.9198717948718,1.0,138.1,True,
EV_S_qb0of3__ROIC_qb0of3__None__v0,EV_S_qb0,ROIC_qb0,0.2974766967381084,0.2284734107626667,0.0690032859754417,-0.6882375664901377,0.5870060281312793,156.67628205128204,1.0,80.0,True,
PS_qb0of3__ROIC_qb0of3__None__v0,PS_qb0,ROIC_qb0,0.2934264271114633,0.23167500171222444,0.061751425399238835,-0.6761891939397484,0.5859247135842881,171.35897435897436,1.0,95.0,True,
EV_S_qb0of3__EV_EBITDA_qb0of3__None__v0,EV_EBITDA_qb0,EV_S_qb0,0.29307017281080094,0.2415954219295564,0.051474750881244535,-0.5989166234611996,0.5924592973436161,275.41987179487177,1.0,199.0,True,
REVENUE_qb0of3__ACCRUAL_qb0of3__None__v0,REVENUE_qb0,ACCRUAL_qb0,0.29187803296701365,0.2141966463375593,0.07768138662945434,-0.4710200570391615,0.5036670159062768,197.60576923076923,1.0,120.1,True,
